source,aircraft,date,from,to,flight,flight_time,std,atd,sta,status
regeneron,N459FX,27 Jul 2025,Santa Barbara (SBA),Santa Rosa (STS),LXJ459,1:02,7:03 AM,7:31 AM,8:45 AM,25 Jul 2025
regeneron,N459FX,25 Jul 2025,Vancouver (YVR),Seattle (BFI),LXJ459,0:24,3:39 PM,3:47 PM,4:12 PM,25 Jul 2025
regeneron,N459FX,25 Jul 2025,Van Nuys (VNY),Mountain View (NUQ),LXJ459,0:46,9:52 AM,10:23 AM,11:17 AM,24 Jul 2025
regeneron,N459FX,23 Jul 2025,Kailua-Kona (KOA),Santa Ana (SNA),LXJ459,4:46,12:30 PM,1:42 PM,9:27 PM,21 Jul 2025
regeneron,N459FX,20 Jul 2025,Rifle (RIL),Long Beach (LGB),LXJ459,1:38,1:12 PM,1:17 PM,1:54 PM,20 Jul 2025
regeneron,N459FX,20 Jul 2025,West Palm Beach (PBI),Panama City (ECP),LXJ459,1:04,9:15 AM,9:49 AM,9:54 AM,20 Jul 2025
regeneron,N459FX,18 Jul 2025,Atlantic City (ACY),Miami (OPF),LXJ459,2:10,10:24 PM,11:13 PM,1:31 AM,18 Jul 2025
regeneron,N459FX,18 Jul 2025,Burbank (BUR),Westhampton Beach (FOK),LXJ459,4:57,9:30 AM,10:47 AM,6:53 PM,18 Jul 2025
regeneron,N459FX,17 Jul 2025,Westhampton Beach (FOK),Van Nuys (VNY),LXJ459,5:43,3:30 PM,4:45 PM,7:27 PM,17 Jul 2025
regeneron,N459FX,17 Jul 2025,St. Petersburg (PIE),Asheville (AVL),LXJ459,1:17,10:00 AM,10:23 AM,11:57 AM,17 Jul 2025
regeneron,N459FX,16 Jul 2025,Wildwood (WWD),Stuart (SUA),LXJ459,1:59,3:00 PM,3:41 PM,5:45 PM,16 Jul 2025
regeneron,N459FX,15 Jul 2025,West Palm Beach (PBI),Teterboro (TEB),LXJ459,2:21,2:00 PM,3:05 PM,5:31 PM,15 Jul 2025
regeneron,N459FX,15 Jul 2025,Buffalo (BUF),Boca Raton (BCT),LXJ459,2:45,9:00 AM,9:03 AM,11:51 AM,15 Jul 2025
regeneron,N459FX,14 Jul 2025,Paris (LBG),Teterboro (TEB),LXJ459,7:42,4:30 PM,4:35 PM,6:15 PM,13 Jul 2025
regeneron,N459FX,12 Jul 2025,Teterboro (TEB),Palma de Mallorca (PMI),LXJ459,7:07,9:00 AM,8:52 AM,10:49 PM,11 Jul 2025
regeneron,N459FX,11 Jul 2025,Santa Rosa (STS),Hailey (SUN),LXJ459,1:16,8:35 AM,9:02 AM,11:15 AM,10 Jul 2025
regeneron,N459FX,09 Jul 2025,Westhampton Beach (FOK),New York (LGA),LXJ459,0:20,1:33 PM,2:26 PM,2:48 PM,09 Jul 2025
regeneron,N459FX,08 Jul 2025,Paris (LBG),Oslo (OSL),LXJ459,1:54,1:00 PM,1:10 PM,2:58 PM,06 Jul 2025
regeneron,N459FX,05 Jul 2025,Orlando (SFB),Albany (ALB),LXJ459,2:24,11:30 AM,12:13 PM,2:44 PM,02 Jul 2025
regeneron,N459FX,29 Apr 2025,West Palm Beach (PBI),Orlando (SFB),LXJ459,0:40,9:41 PM,9:23 PM,10:00 PM,29 Apr 2025
regeneron,N459FX,29 Apr 2025,Seattle (BFI),South Lake Tahoe (TVL),LXJ459,1:23,9:32 AM,10:16 AM,11:44 AM,28 Apr 2025
regeneron,N459FX,26 Apr 2025,Reno (RNO),Las Vegas (LAS),LXJ459,0:59,10:00 AM,10:13 AM,11:16 AM,25 Apr 2025
regeneron,N459FX,25 Apr 2025,Teterboro (TEB),Van Nuys (VNY),LXJ459,5:30,3:00 PM,3:55 PM,6:24 PM,24 Apr 2025
regeneron,N459FX,24 Apr 2025,Charlottesville (CHO),Stuart (SUA),LXJ459,1:43,2:51 PM,3:48 PM,5:39 PM,24 Apr 2025
regeneron,N459FX,24 Apr 2025,Scottsdale (SCF),Denver (APA),LXJ459,1:12,5:36 AM,6:06 AM,8:24 AM,21 Apr 2025
regeneron,N459FX,20 Apr 2025,Atlanta (PDK),Lakeland (LAL),LXJ459,1:04,4:00 PM,4:28 PM,5:29 PM,20 Apr 2025
regeneron,N459FX,20 Apr 2025,Miami (MIA),White Plains (HPN),LXJ459,2:35,9:30 AM,9:51 AM,12:34 PM,20 Apr 2025
regeneron,N459FX,19 Apr 2025,Bedford (BED),Fort Myers (FMY),LXJ459,2:55,11:30 AM,12:57 PM,3:54 PM,18 Apr 2025
regeneron,N459FX,18 Apr 2025,Sint Maarten (SXM),San Juan (SJU),LXJ459,0:35,7:13 AM,7:17 AM,7:59 AM,17 Apr 2025
regeneron,N459FX,17 Apr 2025,Miami (TMB),Barbuda (BBQ),LXJ459,2:39,5:15 PM,2:31 PM,5:10 PM,17 Apr 2025
regeneron,N459FX,17 Apr 2025,Bedford (BED),Nassau (NAS),LXJ459,3:06,8:00 AM,8:06 AM,10:52 AM,16 Apr 2025
